id;name;code
1;ПРОДУКТЫ ПИЩЕВЫЕ;01.01
2;ТОВАРЫ МЕДИЦИНСКИЕ;01.02
3;СИСТЕМЫ ОХРАНЫ, НАБЛЮДЕНИЯ, ОБЕСПЕЧЕНИЯ БЕЗОПАСНОСТИ;01.03
4;ТОВАРЫ ДЛЯ ПРОТИВОПОЖАРНЫХ, АВАРИЙНО-СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ;01.04
5;ТОВАРЫ ПРИРОДООХРАННЫЕ ЭКОЛОГИЧЕСКИЕ И ЛАБОРАТОРНЫЕ;01.05
6;ТОВАРЫ ДЛЯ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ;01.06
7;ТОВАРЫ ДЛЯ УЧРЕЖДЕНИЙ КУЛЬТУРЫ И ИСКУССТВА;01.07
8;ТОВАРЫ СПОРТИВНЫЕ;01.08
9;ТРАНСПОРТНЫЕ СРЕДСТВА, РАСХОДНЫЕ МАТЕРИАЛЫ И ЗАПАСНЫЕ ЧАСТИ ДЛЯ НИХ;01.09
10;ОБОРУДОВАНИЕ ЭНЕРГЕТИЧЕСКОЕ, ОСВЕТИТЕЛЬНЫЕ ПРИБОРЫ, ГОРЮЧЕ-СМАЗОЧНЫЕ МАТЕРИАЛЫ;01.10
11;ТОВАРЫ СТРОИТЕЛЬНЫЕ;01.11
12;СПЕЦТЕХНИКА ДОРОЖНАЯ, КОММУНАЛЬНАЯ И ЛЕСОТЕХНИЧЕСКАЯ, РЕАГЕНТЫ ПРОТИВОГОЛОЛЕДНЫЕ, ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ЖКХ;01.12
13;ТОВАРЫ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ, СРЕДСТВА СВЯЗИ, ОРГТЕХНИКА, ЭЛЕКТРОНИКА (ВКЛЮЧАЯ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ);01.13
14;ЛИТЕРАТУРА И ПОЛИГРАФИЧЕСКАЯ ПРОДУКЦИЯ;01.14
15;ИЗДЕЛИЯ КАНЦЕЛЯРСКИЕ, БУМАГА И БУМАЖНЫЕ ИЗДЕЛИЯ;01.15
16;МЕБЕЛЬ ОБЩЕГО НАЗНАЧЕНИЯ;01.16
17;ЗООТОВАРЫ И ВЕТЕРИНАРНЫЕ ТОВАРЫ;01.17
18;ЦВЕТЫ, РАСТЕНИЯ, ТОВАРЫ ДЛЯ ОЗЕЛЕНЕНИЯ;01.18
19;ОДЕЖДА (ВКЛЮЧАЯ ФОРМЕННУЮ), ОБУВЬ, ГАЛАНТЕРЕЯ, ГОЛОВНЫЕ УБОРЫ;01.19
20;ТОВАРЫ ХОЗЯЙСТВЕННЫЕ, ТЕХНИКА БЫТОВАЯ;01.20
21;НЕДВИЖИМОСТЬ;01.22
22;ЭЛЕМЕНТЫ БЛАГОУСТРОЙСТВА;01.23
23;ИЗДЕЛИЯ ТЕКСТИЛЬНЫЕ;01.24
24;ОБОРУДОВАНИЕ ПРОИЗВОДСТВЕННОЕ И ТЕХНОЛОГИЧЕСКОЕ;01.25
25;ВЕЩЕСТВА ХИМИЧЕСКИЕ;01.26
26;НЕФТЬ СЫРАЯ И ГАЗ ПРИРОДНЫЙ;01.27
27;ТОВАРЫ РИТУАЛЬНОГО НАЗНАЧЕНИЯ;01.28
28;НАГРАДНАЯ ПРОДУКЦИЯ;01.29
29;МАТЕРИАЛЫ ИЗ НАТУРАЛЬНОЙ КОЖИ;01.30
30;ИЗЫСКАНИЯ ИНЖЕНЕРНЫЕ;02.01
31;РАБОТЫ ПРОЕКТНЫЕ;02.02
32;СТРОИТЕЛЬСТВО;02.03
33;РЕКОНСТРУКЦИЯ;02.04
34;РЕМОНТ КАПИТАЛЬНЫЙ;02.05
35;РЕМОНТ ТЕКУЩИЙ, ЗА ИСКЛЮЧЕНИЕМ ВЫПОЛНЯЕМОГО В ХОДЕ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ, СОДЕРЖАНИЯ;02.06
36;СОХРАНЕНИЕ ОБЪЕКТОВ КУЛЬТУРНОГО НАСЛЕДИЯ;02.07
37;РАБОТЫ ПРИРОДООХРАННЫЕ ЭКОЛОГИЧЕСКИЕ;02.08
38;РАБОТЫ ТОПОГРАФИЧЕСКИЕ;02.09
39;РАБОТЫ КАРТОГРАФИЧЕСКИЕ;02.10
40;РЕМОНТ (КРОМЕ СТРОИТЕЛЬНОГО);02.11
41;МОНТАЖ, УСТАНОВКА, СБОРКА, ПУСКО-НАЛАДКА;02.12
42;РАБОТЫ НАУЧНО ИССЛЕДОВАТЕЛЬСКИЕ, ОПЫТНО-КОНСТРУКТОРСКИЕ;02.13
43;РАБОТЫ ПО ИЗГОТОВЛЕНИЮ, ПРОИЗВОДСТВУ;02.17
44;СНОС (ДЕМОНТАЖ) ЗДАНИЙ, СТРОЕНИЙ, СООРУЖЕНИЙ;02.18
45;РЕМОНТ АВАРИЙНО-ВОССТАНОВИТЕЛЬНЫЙ;02.19
46;РЕМОНТ ОХРАННО-ПОДДЕРЖИВАЮЩИЙ;02.20
47;РАБОТЫ КАДАСТРОВЫЕ;02.21
48;ИНВЕНТАРИЗАЦИЯ ТЕХНИЧЕСКАЯ ОБЪЕКТОВ ГОСУДАРСТВЕННОГО ТЕХНИЧЕСКОГО УЧЕТА;02.22
49;МОНИТОРИНГ ТЕХНИЧЕСКОГО СОСТОЯНИЯ;02.23
50;КОМПЛЕКС РАБОТ ПО ПОДГОТОВКЕ ТЕРРИТОРИИ СТРОИТЕЛЬСТВА;02.24
51;ИНВЕНТАРИЗАЦИЯ ОБЪЕКТОВ БЛАГОУСТРОЙСТВА;02.25
52;РАБОТЫ ПО ОГНЕЗАЩИТНОЙ ОБРАБОТКЕ ИЗДЕЛИЙ;02.26
53;РАБОТЫ В СФЕРЕ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ДЛЯ ПРИКЛАДНЫХ ЗАДАЧ;02.27
54;УСЛУГИ МЕДИЦИНСКИЕ;03.01
55;УСЛУГИ СОЦИАЛЬНЫЕ;03.02
56;УСЛУГИ ОБРАЗОВАТЕЛЬНЫЕ;03.03
57;РЕАБИЛИТАЦИЯ (АДАПТАЦИЯ), ТРУДОУСТРОЙСТВО, ОБЕСПЕЧЕНИЕ ПЕРСОНАЛОМ;03.04
58;УСЛУГИ ПО ОРГАНИЗАЦИИ ПИТАНИЯ;03.05
59;УСЛУГИ СТРОИТЕЛЬНЫЕ;03.06
60;ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ, СОДЕРЖАНИЕ И ТЕКУЩИЙ РЕМОНТ;03.07
61;УСЛУГИ ПО САНИТАРНОМУ СОДЕРЖАНИЮ, ОБРАЩЕНИЮ С ОТХОДАМИ, УБОРКЕ;03.08
62;УСЛУГИ (МЕРОПРИЯТИЯ) ОХРАННЫЕ И ПРОТИВОПОЖАРНЫЕ;03.10
63;УСЛУГИ КОММУНАЛЬНЫЕ;03.11
64;УСЛУГИ СВЯЗИ И ТЕЛЕКОММУНИКАЦИИ;03.12
65;УСЛУГИ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЕ (ИТ);03.13
66;СТРАХОВАНИЕ;03.14
67;РАЗМЕЩЕНИЕ РЕКЛАМЫ, ИНФОРМИРОВАНИЕ;03.15
68;УСЛУГИ САНАТОРНО-КУРОРТНЫЕ, ОТДЫХ;03.16
69;УСЛУГИ В СФЕРЕ КУЛЬТУРЫ И ИСКУССТВА;03.17
70;ПРОВЕДЕНИЕ СПОРТИВНЫХ, ТУРИСТИЧЕСКИХ, ЭКСКУРСИОННЫХ МЕРОПРИЯТИЙ;03.18
71;УСЛУГИ ПО ХРАНЕНИЮ;03.20
72;УСЛУГИ РИТУАЛЬНЫЕ;03.21
73;УСЛУГИ КОНСАЛТИНГОВЫЕ;03.22
74;УСЛУГИ ПО ОЦЕНКЕ;03.23
75;УСЛУГИ АРХИВОВ, ДОКУМЕНТАЦИОННОЕ ОБЕСПЕЧЕНИЕ, ДЕЛОПРОИЗВОДСТВО;03.24
76;УСЛУГИ КРЕДИТНО-ФИНАНСОВЫЕ;03.25
77;УСЛУГИ НОТАРИАЛЬНЫЕ;03.26
78;УСЛУГИ ВЕТЕРИНАРНЫЕ;03.27
79;ЗООУСЛУГИ;03.28
80;ЭКСПЕРТИЗА (КРОМЕ ЭКСПЕРТИЗЫ ПСД), ИСПЫТАНИЕ, ТЕСТИРОВАНИЕ, ОЦЕНКА СООТВЕТСТВИЯ (ТЕХНИЧЕСКАЯ), МЕТРОЛОГИЯ;03.30
81;АРЕНДА;03.31
82;УСЛУГИ ТРАНСПОРТНО-ЭКСПЕДИЦИОННЫЕ;03.32
83;ПЕРЕВОЗКА ПАССАЖИРОВ;03.33
84;УСЛУГИ ПРЕДСТАВИТЕЛЬСКИЕ, ПРОВЕДЕНИЕ ОФИЦИАЛЬНЫХ ПРИЕМОВ, УСЛУГИ ПЕРЕВОДА;03.35
85;УСЛУГИ БЫТОВЫЕ;03.36
86;ОКАЗАНИЕ СОЦИАЛЬНОЙ ПОМОЩИ;03.39
87;УСЛУГИ, СВЯЗАННЫЕ С НЕДВИЖИМОСТЬЮ;03.40
88;УСЛУГИ АЭРОПОРТА;03.41
89;УСЛУГИ АРХИТЕКТУРНЫЕ;03.42
90;УПРАВЛЕНИЕ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТЬЮ;03.44
91;УСЛУГИ ПО ЭНЕРГОСБЕРЕЖЕНИЮ И ПОВЫШЕНИЮ ЭНЕРГЕТИЧЕСКОЙ ЭФФЕКТИВНОСТИ (ЭНЕРГОСЕРВИС);03.45
92;УСЛУГИ СО ВСТРЕЧНЫМИ ИНВЕСТИЦИОННЫМИ ОБЯЗАТЕЛЬСТВАМИ;03.46
93;УСЛУГИ ЮРИДИЧЕСКИЕ;03.47
